TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12
15.0,15,111.162,100.32,41.03,35.694,44.731,37.012,37.873000000000005,31.95,40.25,37.346,45.62,44.684
16.0,16,111.169,100.322,42.582,36.874,46.493,38.286,35.678000000000004,30.013,40.900999999999996,37.257,45.357,44.516999999999996
17.0,17,110.36200000000001,99.895,44.192,38.415,48.376999999999995,39.912,33.799,28.355,41.473,37.283,45.563,44.534
18.0,18,110.36,99.92399999999999,45.451,40.010999999999996,49.751000000000005,41.59,32.429,27.31,42.066,37.295,45.458999999999996,44.442
19.0,19,108.58,98.72399999999999,46.408,41.525,50.853,43.213,31.809,27.53,42.724,37.336999999999996,45.445,44.666000000000004
20.0,20,106.34299999999999,97.027,46.813,42.88,51.287,44.665,31.951,28.631999999999998,43.593,37.664,45.571999999999996,44.93
21.0,21,104.311,94.837,46.843,43.982,51.318000000000005,45.861000000000004,33.288000000000004,31.065,43.813,37.876999999999995,45.558,45.281000000000006
22.0,22,103.61399999999999,93.381,46.608999999999995,44.916000000000004,51.047,46.882,35.207,34.226,44.096000000000004,38.227,45.803000000000004,45.79600000000001
23.0,23,102.098,91.14399999999999,46.095,45.656000000000006,50.451,47.663999999999994,38.468,37.732,44.31,38.724000000000004,46.028999999999996,46.059
24.0,24,100.977,89.932,45.17100000000001,46.055,49.416000000000004,48.096000000000004,42.163000000000004,41.16,44.214,38.967,46.12,46.157
25.0,25,99.822,88.53299999999999,43.958999999999996,45.828,48.018,47.858000000000004,46.025,44.498999999999995,43.666000000000004,39.155,46.34,46.063
26.0,26,98.914,87.29899999999999,42.76,45.424,46.638000000000005,47.445,49.281000000000006,47.478,43.538999999999994,39.426,46.428999999999995,45.847
27.0,27,98.16,86.20200000000001,41.351000000000006,44.501999999999995,45.028999999999996,46.443999999999996,51.653,49.736999999999995,43.07899999999999,39.611999999999995,46.325,45.25
28.0,28,97.667,85.583,40.063,43.443000000000005,43.56,45.318000000000005,53.532,51.192,42.411,39.760999999999996,46.132,44.611999999999995
29.0,29,97.40100000000001,85.275,38.968,42.113,42.336999999999996,43.9,54.553000000000004,51.857,41.708999999999996,39.873000000000005,45.485,43.735
30.0,30,97.109,85.113,37.797,40.624,41.0,42.324,54.901,51.479,40.961999999999996,39.659,45.05,43.0
31.0,31,97.57700000000001,85.745,36.924,39.032,40.028,40.613,54.353,50.161,39.996,39.312,44.221000000000004,42.346000000000004
32.0,32,98.199,86.777,36.279,37.49,39.336999999999996,38.995,53.846000000000004,48.675,39.359,39.183,43.765,41.82899999999999
33.0,33,98.439,87.58200000000001,35.85,36.0,38.86,37.387,52.534,46.828,38.583,38.838,43.231,41.174
34.0,34,98.985,88.133,35.75,34.838,38.717,36.202,50.333,44.568000000000005,38.062,38.428000000000004,42.739,40.631
35.0,35,99.365,89.259,35.826,33.888000000000005,38.86,35.149,47.753,41.733999999999995,37.426,37.83,42.371,40.238
36.0,36,99.84200000000001,90.139,36.184,33.34,39.265,34.592,45.08,38.867,37.215,37.326,42.01,39.784
37.0,37,99.956,90.87899999999999,37.135,33.157,40.346,34.376,41.933,36.118,36.903,36.606,41.68600000000001,39.343
38.0,38,100.52,91.48899999999999,38.435,33.45,41.809,34.72,38.601,33.408,36.883,36.146,41.48,39.025
39.0,39,100.43700000000001,91.931,39.917,33.974000000000004,43.501999999999995,35.266999999999996,35.85,31.068,37.321,36.13,41.3,38.516999999999996
40.0,40,100.999,92.573,41.39,34.964,45.168,36.296,33.354,29.113000000000003,37.824,36.102,41.266999999999996,38.527
41.0,41,101.103,92.985,42.937,36.118,46.907,37.506,31.641,27.643,38.471,36.15,41.272,38.873000000000005
42.0,42,100.63,92.912,44.467,37.534,48.625,38.99,30.636999999999997,26.483,39.287,36.256,41.301,39.023
43.0,43,99.771,92.18299999999999,46.103,39.143,50.458,40.679,29.995,26.016,39.908,36.329,41.623999999999995,39.355
44.0,44,98.196,90.905,47.346000000000004,40.864000000000004,51.762,42.446000000000005,29.778000000000002,26.256999999999998,40.826,36.696,42.062,39.681
45.0,45,96.35600000000001,89.50399999999999,48.37,42.31399999999999,52.981,44.055,29.87,27.156999999999996,41.591,36.764,42.876000000000005,40.313
46.0,46,95.316,88.288,48.605,43.714,53.152,45.475,30.648000000000003,28.603,42.18600000000001,37.016999999999996,43.42100000000001,40.899
47.0,47,94.272,87.303,48.365,44.693999999999996,52.825,46.56399999999999,32.001999999999995,30.496,42.575,37.185,43.916000000000004,41.592
48.0,48,93.314,86.465,47.812,45.652,52.167,47.567,34.150999999999996,33.253,42.61600000000001,37.266,44.168,42.023
49.0,49,92.006,84.916,46.792,46.159,51.053000000000004,48.129,36.666,35.843,42.571000000000005,37.391,44.255,42.386
50.0,50,91.212,84.03200000000001,45.326,46.138999999999996,49.411,48.092,39.242,38.482,42.272,37.548,44.445,42.81
51.0,51,91.139,83.925,43.931999999999995,45.722,47.869,47.64,41.713,40.789,41.698,37.714,44.276,42.739
52.0,52,90.729,83.605,42.542,45.082,46.28,46.952,44.03,42.868,41.085,37.709,43.893,42.527
53.0,53,91.015,83.602,41.202,44.131,44.746,45.958999999999996,46.196000000000005,44.38399999999999,40.35,37.92,43.512,42.195
54.0,54,90.74600000000001,83.456,39.847,42.934,43.201,44.711999999999996,48.233999999999995,45.287,39.826,38.12,43.129,41.711000000000006
55.0,55,90.45700000000001,82.921,38.681,41.45399999999999,41.896,43.138000000000005,49.622,45.445,39.045,38.022,42.821000000000005,41.222
56.0,56,91.09700000000001,83.715,37.838,40.044000000000004,40.914,41.645,50.228,44.728,38.382,37.828,42.508,40.821999999999996
57.0,57,91.46799999999999,84.01,37.302,38.704,40.384,40.226,49.505,43.553000000000004,37.674,37.576,42.132,40.274
58.0,58,91.919,84.88600000000001,36.959,37.235,40.025999999999996,38.677,47.803999999999995,41.809,37.317,37.385,41.798,40.029
59.0,59,91.87799999999999,85.125,37.149,36.12,40.238,37.486999999999995,46.369,39.879,36.771,36.917,41.416000000000004,39.531
60.0,60,92.428,86.33200000000001,37.467,35.303000000000004,40.619,36.609,44.998000000000005,37.914,36.355,36.578,41.299,39.191
61.0,61,92.414,86.009,38.122,34.711999999999996,41.358000000000004,35.999,43.086000000000006,35.879,36.103,36.1,40.986000000000004,38.733000000000004
